label,mean_x,std_x,kurtosis_x,skew_x,mean_y,std_y,kurtosis_y,skew_y,mean_z,std_z,kurtosis_z,skew_z,rms,median_x,min_x,max_x,range_x,median_y,min_y,max_y,range_y,median_z,min_z,max_z,range_z,peak_freq_x,spectral_entropy_x,mean_freq_x,fft_energy_x,peak_freq_y,spectral_entropy_y,mean_freq_y,fft_energy_y,peak_freq_z,spectral_entropy_z,mean_freq_z,fft_energy_z
3.0,-1.8049123196979406,0.9603312887218319,-0.47048805177593866,-0.4520446693747242,-8.251051746799986,0.9082895713949802,-0.5135410628114596,-0.1868522637823788,-0.9421094308457276,1.813355956240661,-0.020693856486060813,-0.7915755240179929,43.94901009792298,-1.7458369761367967,-3.9331276172749052,-0.18531463623046873,3.7478129810444365,-8.185677652244287,-10.357711029052735,-6.583559985369002,3.7741510436837338,-0.6335498689318797,-5.400469665527343,2.067444226624097,7.46791389215144,0.0,1.673797210148175,3.4763801545838664,2323.027383509312,0.0,0.608035139690461,0.7754102488612371,42806.978189218535,0.0,1.7290488627825737,3.6197567778129356,1581.19184398155
3.0,-0.5213264945012083,0.953775260369368,-0.9170777381908883,-0.7655854184277983,-8.373989804435128,0.7631713769820123,-0.44655349915298226,0.17164767278224807,-4.249026090568712,1.0536445875208411,-1.0337222973599274,-0.5112843781746318,47.71058425332246,-0.08751773803070298,-2.4370820617675784,0.5817986334315118,3.01888069519909,-8.491838426646611,-9.883048095703126,-7.076137674723745,2.8069104209793805,-3.9865180048387354,-6.2848201339197285,-2.9450986304629243,3.339721503456804,2.0,2.132369393862635,5.726865658243981,451.6033768590393,0.0,0.73330661144149,1.1883205975212572,44007.53656006571,0.0,0.8360938770470767,1.0462832843627219,11630.549391348666
3.0,0.7314873776551086,0.4487911886582795,-1.1210556396217153,-0.06924980040669891,-7.220244629175791,0.5548261789291145,-0.0513030440350466,-0.866771449384197,-7.95594884369671,0.6643950359613805,-0.7992413385083394,0.40325941238463636,54.063572457797804,0.767278613403628,-0.042382395130494854,1.4872556253299292,1.529638020460424,-7.204518127441407,-8.558546005894561,-6.508780700127065,2.0497653057674956,-7.9955220246269425,-8.953085940659305,-6.609686284559991,2.343399656099314,0.0,1.718702172430971,3.5722510437893655,396.9405932185305,0.0,0.5499687504631492,0.7540010567892932,32678.08654773489,0.0,0.4169099023930353,0.3620289103510834,39698.64064532858
3.0,-0.6010673905284802,0.5890837708110331,-0.8377347820218395,0.19492595375911662,-8.057444040171193,0.5567539454120334,-0.7172464340921807,-0.5190288612649175,-4.087232564415421,2.0330033473211384,-0.949019874249506,-0.6825073537718906,46.57769148397348,-0.633381335736634,-1.5891746348106925,0.5577401733398438,2.1469148081505365,-7.9822578508783,-9.353349057195292,-7.328677499658463,2.024671557536829,-3.122382007023453,-8.233628082275391,-1.5493801054951466,6.684247976780245,0.0,2.003706657697512,5.311873691330508,332.7921135680914,0.0,0.5790143107490732,0.8582485239942359,40672.436631551194,0.0,1.6789088144044555,3.663899899665467,11719.239091867435
3.0,-1.6551106248994676,0.5438765530714756,-1.0752461520210992,-0.012265687892905707,-9.852673260262907,0.8900416217899684,-1.3857342354366913,0.13792425520037613,-0.30294569692417667,1.078968105324423,-0.2930279460710081,-0.7991182420408162,50.53674050016644,-1.699677282482173,-2.5957690926059733,-0.7061552313429957,1.8896138612629776,-9.879984592488743,-11.132570753585947,-8.3948577748639,2.7377129787220476,-0.11688875560320433,-2.5475567744731764,1.2599883385811803,3.8075451130543567,0.0,1.0369712405975338,1.783652632689909,1804.4367209183606,0.0,0.5610304297928819,0.6991398539522397,60918.738846991924,4.0,1.9145923226313295,5.084318190826822,420.32476373219475
3.0,-1.3909732285869878,0.7794111844161364,-1.0032241159973319,0.5733754732589303,-9.082593741606082,0.7287427371582021,-1.1543305507356585,-0.46922267782335625,-2.1762695502042315,1.1157841869589307,-0.3496992318243075,-0.5442165218697695,47.8403561013281,-1.5756320532268886,-2.321426658063594,0.10800030892807623,2.42942696699167,-8.908540014032688,-10.455944827733687,-8.191056602041243,2.2648882256924434,-2.148933002492213,-4.6868837686676565,-0.5298629063711657,4.157020862296491,0.0,1.6350469259223286,3.31861158943726,1398.0592619204283,0.0,0.35676430352915434,0.2715201409183273,51724.399271256705,0.0,1.449974587490151,2.6669661863231915,3347.995803940431
3.0,0.5669215801089375,0.3613257681920081,-0.7624863250412464,0.5800569131994872,-7.162295353833827,0.7986217819133171,-1.5320662490939203,-0.2347812711812176,-6.674885708774732,1.0047535382567914,-0.12099229134015044,0.638700573346106,49.48531518862275,0.4821415942630294,0.06107299804687494,1.3169900243171795,1.2559170262703045,-6.837106419681252,-8.256642262433882,-5.971676684441348,2.2849655779925344,-6.904930036371461,-8.339175975346395,-4.36177963256836,3.977396342778035,0.0,1.467986813167173,2.7595461005371136,241.48285204945316,0.0,0.7311645633717898,1.1026927930876598,32259.393685041923,0.0,1.0430749945762796,1.9301848156147745,28157.411175556186
3.0,1.207465655067233,0.5987059980214762,-1.5309185734900328,0.0319969847158398,-6.423724827271356,0.9323641563927696,-1.6040774722253655,-0.017054670225599533,-7.546918232559648,1.5315198417278797,-1.0528169803977654,0.5967016210002074,50.80637105506791,1.1401440387548403,0.3149864749312647,1.9974462890625,1.6824598141312352,-6.2868482970896915,-7.593959054484042,-5.061873779296875,2.5320852751871668,-8.112507332671708,-9.213191070556642,-4.494172978815186,4.7190180917414555,0.0,1.5860333945413498,3.227319736023072,1022.4949270132663,0.0,0.8542840091504206,1.3410062314713855,26060.173542090644,0.0,1.105598042584609,1.9450189631677186,36324.44051293476
3.0,-1.0853114192650342,0.5664094238319318,-0.4067437582928064,0.4528011439354357,-8.948612848274827,0.8963661146960384,-1.5520614398655517,-0.23294886775387397,-1.838397727364457,1.1875903676383288,0.1628808367975818,0.6613007268449895,46.68242220508792,-1.1592440733852767,-2.0587964607161466,0.21031265258789067,2.2691091133040375,-8.569116602734052,-10.279836929628962,-7.618257751464844,2.661579178164118,-1.9917595969076867,-3.919299774169922,0.8802931858692502,4.799592960039172,0.0,1.4322551178336127,2.6404664048263795,836.0105840733046,0.0,0.6737370827473926,0.9566386327870269,50298.310509251576,0.0,1.906514218865279,4.648002251081591,2548.454263280393
3.0,-1.5608169375491059,0.5437944673891818,-0.766492924414123,0.5663254591012462,-9.738218459630074,0.3443444180822801,-0.6188149881206422,0.4469227959391826,-0.7924995747034839,0.8083367738801185,-0.5500036254817062,0.19862816668529068,49.74052615749047,-1.8024441370025794,-2.369201267537769,-0.41012483854895876,1.9590764289888103,-9.829000712306978,-10.341394958496094,-9.051581817990304,1.2898131405057907,-0.801188769550777,-2.484683074951172,0.820906680780267,3.3055897557314387,0.0,1.3694703599724407,2.5330145795886607,1614.4478670968017,0.0,0.339430919558687,0.4263492653341792,59307.40486689061,0.0,1.7211563444714995,3.4125765697238544,596.3995705493433
3.0,-0.9023834589292243,0.7097591700658368,-1.232959912979488,0.09853994236989233,-8.764469532755347,1.2846119358203705,-1.11066531355992,0.09644656375409442,-2.7684678334476853,2.2298196238516397,-1.2803472628172707,0.11065016081176514,48.06784728444755,-0.9801273946716631,-1.985232182381941,0.3701609733462373,2.355393155728178,-8.761996445871816,-10.91357582855631,-6.428859930846463,4.4847158977098465,-3.53125071875228,-6.485626522238325,0.8774604583250251,7.3630869805633505,0.0,1.1605241704557274,1.6400183730539606,666.3429548068448,0.0,0.8014593098491805,1.1637979225062942,48524.20912798424,0.0,1.7191177389223746,3.5504098652412903,6337.746322813927
3.0,0.15796099540144873,0.28966210990901,-0.011578811196627736,0.7758263724480036,-6.8890238881931305,0.3387415316160635,-0.4633154956418215,0.594051146027244,-7.826509197414482,0.7723160678322373,-1.3279963467049019,0.4720831010664701,52.32900010920515,0.11041220332537732,-0.230129501178925,0.8799342225979643,1.1100637237768893,-6.954853684410518,-7.45330078125,-6.154108765551126,1.2991920156988739,-8.144611608602546,-8.851126566460792,-6.482569427490235,2.368557138970557,2.0,1.912534723856144,4.502063549528879,41.74054044363151,0.0,0.48708322982146895,0.7252797571467141,29697.016192604362,0.0,0.7256003662642931,1.1157652256685247,38468.85270715906
3.0,0.7965124269193277,0.4380317599708089,-0.834790149766683,-0.7648722259242678,-5.598737667292545,0.8578009595407916,-0.8890143916964557,-0.561627792680898,-9.188937826918721,0.6171118711681975,-0.3336946347839045,0.8344251816392384,54.25066710899599,0.956437951741235,-0.027403303969260828,1.254657259649106,1.2820605636183666,-5.420922206055501,-7.344761082165991,-4.559220097845287,2.785540984320704,-9.309364824559232,-9.91258567054888,-7.743357353644316,2.1692283169045643,0.0,1.4854201857100215,2.708729228296254,456.2750200222981,0.0,0.6794948624251883,0.8362696311533926,19820.791976688102,0.0,0.4415202944886893,0.512086706275685,52891.59355705598
3.0,-0.47703585447880487,0.5854993131127881,-1.5101386449982386,-0.4935939291408364,-8.039021211081998,0.376767340330898,0.8215066167360021,1.4417262555436448,-4.55381584900456,2.3068415239123117,-1.371874830027479,-0.0766766818373913,47.80087470856872,-0.033829650878906214,-1.436258292938627,0.12038658168837155,1.5566448746269985,-8.205475891982303,-8.371763527562809,-7.031627655029297,1.3401358725335122,-4.261144374144271,-8.157735900878906,-1.2277724587860575,6.929963442092848,0.0,1.9023700346888999,4.4249174562501805,248.83829457005152,0.0,0.44758723884521806,0.6245695435089789,40435.07099361215,0.0,1.6332720695410063,3.3671099816048935,14611.089782161907
3.0,-1.7825247095195202,0.5221285980774755,-1.3630768336866312,-0.2910044176892892,-9.502896670402778,0.5565693652317284,-0.024425156410958326,0.06669327299620814,-0.2964140524206031,0.44262228468995035,2.250789691332286,-1.7247065354688167,48.566604518182345,-1.5542007112176086,-2.606754425770139,-0.9942688816171661,1.612485544152973,-9.412386311709007,-10.571529328315997,-8.227490844726564,2.344038483589433,-0.16860844578600506,-1.65016845703125,0.17027823301121695,1.820446690042467,0.0,0.9316462496602175,1.109116810130556,2071.0555672585133,0.0,0.4726944950425489,0.6178475300529735,56537.0937892803,0.0,2.035384693496854,5.1073002725032755,115.77877546729283
3.0,-1.3765389396562546,1.1002724175732175,0.6659405791732307,1.2273954390100135,-8.88131997348664,0.9430156627503844,-0.40628746222214573,0.11195668413443463,-0.1599112554620123,0.451233640362282,-0.4132648551412914,0.7189974147532087,45.5800848136348,-1.612045485202041,-2.6518455829151915,1.4603569009911883,4.11220248390638,-9.053760792627488,-10.914306152652888,-7.018932556433663,3.8953735962192244,-0.2720805374703996,-0.8240522074827422,0.8318628025542386,1.6559150100369808,0.0,1.9667173472978832,4.7583959257118105,1560.140720553042,0.0,0.6120177681536844,0.6956051748258693,49576.54970789248,4.0,2.043545218780952,5.702511034609173,79.28002920131193
3.0,-0.11224793960378208,0.5629348137199268,1.169027267587233,0.8750541698403008,-7.99514295290111,1.0361573941431563,1.1208909071561974,-1.1916910111224628,-4.242793518242774,2.040368995689283,-1.0789627941538185,0.6729674992852489,46.76799938639079,-0.12824003157824998,-1.1256692086912254,1.465153198242188,2.5908224069334134,-7.812031532104926,-10.91889404296875,-6.634645488037658,4.284248554931092,-5.506469419543276,-6.482868252142567,-0.20028350830078123,6.282584743841786,4.0,2.16495135798322,6.895684394894243,106.17567833148664,0.0,0.9046044510673785,1.5176981323674674,40283.19769108792,0.0,1.6290474770765284,3.420754419212084,12541.039387700532
3.0,0.565532192162412,0.4488636197720957,-1.097209100674375,-0.12236795230855796,-5.761799588203901,0.5415667059740118,1.2881964381348459,-1.4372595466400493,-8.545826343146699,1.1024151578698334,-1.4394823348655164,0.13078540693996427,52.02388904837237,0.5824738503464278,-0.263791405896478,1.1970391443988595,1.4608305502953374,-5.604834019348772,-7.298223266601563,-5.228972558539157,2.0692507080624063,-8.593680357254785,-9.919015080954255,-6.742578735351563,3.176436345602692,0.0,1.7765879785435177,3.9384660025244127,262.5471953991899,0.0,0.7603483568639395,1.305808196249767,20839.340682331833,0.0,0.8191742184726452,1.2815872137383837,46021.692579951836
